epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,461.434,1.00695,1.19534,1.00032,0.68559,0.70764,0.71858,0.52839,0.904,1.01086,0.99081,0.000742625,0.000742625,0.000742625
43,472.359,1.0101,1.23083,0.99956,0.65379,0.66174,0.70268,0.5139,0.92169,1.11577,1.00139,0.00073025,0.00073025,0.00073025
44,483.639,0.99243,1.18137,0.98992,0.66231,0.76258,0.76301,0.54576,0.92347,1.0175,0.99958,0.000717875,0.000717875,0.000717875
45,494.656,0.99926,1.19456,0.99418,0.68489,0.74349,0.751,0.54537,0.90259,0.98427,0.98964,0.0007055,0.0007055,0.0007055
46,505.426,1.00853,1.1816,0.99912,0.75321,0.71808,0.77297,0.55618,0.89368,0.97391,0.98403,0.000693125,0.000693125,0.000693125
47,515.935,1.01636,1.1958,0.99681,0.71223,0.72457,0.76537,0.57366,0.85987,0.93466,0.97158,0.00068075,0.00068075,0.00068075
48,527.24,0.99338,1.1568,0.99208,0.69567,0.74064,0.75444,0.55349,0.87777,0.94741,0.97232,0.000668375,0.000668375,0.000668375
49,538.267,0.99228,1.14841,0.9881,0.72445,0.76928,0.77573,0.56891,0.86816,0.95696,0.97128,0.000656,0.000656,0.000656
50,549.175,0.97431,1.12114,0.98265,0.69621,0.71658,0.74955,0.54548,0.88766,1.10191,0.9911,0.000643625,0.000643625,0.000643625
51,560.019,0.97625,1.11262,0.98778,0.71909,0.72228,0.75297,0.53906,0.93127,0.96618,1.00611,0.00063125,0.00063125,0.00063125
52,570.755,0.9633,1.11534,0.9755,0.73406,0.74762,0.78883,0.58594,0.8538,0.91719,0.96601,0.000618875,0.000618875,0.000618875
53,581.713,0.97134,1.11477,0.97217,0.72636,0.74784,0.78526,0.58585,0.86823,0.92708,0.97221,0.0006065,0.0006065,0.0006065
54,592.311,0.97844,1.13978,0.98035,0.73891,0.73344,0.76845,0.55847,0.89427,0.97193,0.97379,0.000594125,0.000594125,0.000594125
55,603.376,0.96817,1.11313,0.97713,0.7336,0.73006,0.77031,0.56746,0.86339,0.93363,0.97706,0.00058175,0.00058175,0.00058175
56,614.089,0.96755,1.10206,0.97298,0.72396,0.76688,0.79844,0.59927,0.84573,0.90775,0.96684,0.000569375,0.000569375,0.000569375
57,625.171,0.94288,1.06118,0.97394,0.73226,0.73231,0.77127,0.58035,0.84237,0.94969,0.95738,0.000557,0.000557,0.000557
58,636.173,0.95476,1.0687,0.97069,0.73039,0.77966,0.8069,0.60184,0.86231,0.91942,0.96664,0.000544625,0.000544625,0.000544625
59,646.818,0.93405,1.04102,0.96089,0.7755,0.75444,0.82439,0.61099,0.83167,0.83838,0.95197,0.00053225,0.00053225,0.00053225
60,657.935,0.94765,1.03192,0.96331,0.7512,0.78705,0.82077,0.61442,0.83578,0.83027,0.95431,0.000519875,0.000519875,0.000519875
61,669.051,0.95677,1.05416,0.96441,0.71513,0.79044,0.80196,0.59919,0.8263,0.87033,0.95163,0.0005075,0.0005075,0.0005075
62,679.773,0.94892,1.03937,0.97166,0.79605,0.79228,0.84128,0.63564,0.83734,0.83312,0.95212,0.000495125,0.000495125,0.000495125
63,690.8,0.92848,1.00385,0.95932,0.76447,0.77756,0.82965,0.62439,0.83769,0.85803,0.95352,0.00048275,0.00048275,0.00048275
64,701.946,0.91446,0.99493,0.95548,0.84087,0.78651,0.85301,0.64716,0.82191,0.84239,0.95215,0.000470375,0.000470375,0.000470375
65,712.603,0.94328,1.01608,0.9635,0.78634,0.80724,0.8531,0.65159,0.8139,0.81941,0.9496,0.000458,0.000458,0.000458
66,723.278,0.9096,0.97358,0.95339,0.78732,0.81843,0.84991,0.64474,0.81655,0.78577,0.94805,0.000445625,0.000445625,0.000445625
67,734.584,0.91948,0.99192,0.95729,0.79319,0.82909,0.86169,0.66188,0.79744,0.77284,0.93876,0.00043325,0.00043325,0.00043325
68,745.126,0.90279,0.97333,0.94773,0.8118,0.79627,0.86723,0.65489,0.80958,0.84578,0.94051,0.000420875,0.000420875,0.000420875
69,755.922,0.90592,0.9498,0.95479,0.80652,0.84058,0.8643,0.65779,0.80049,0.75542,0.93897,0.0004085,0.0004085,0.0004085
70,767.506,0.9063,0.95693,0.95123,0.80354,0.81996,0.87046,0.66618,0.80868,0.77544,0.94181,0.000396125,0.000396125,0.000396125
71,778.262,0.88185,0.9544,0.94536,0.81146,0.83764,0.877,0.68145,0.78366,0.73874,0.93022,0.00038375,0.00038375,0.00038375
72,789.478,0.8857,0.95085,0.94671,0.83362,0.80551,0.88333,0.67377,0.81307,0.73146,0.94895,0.000371375,0.000371375,0.000371375
73,800.619,0.88388,0.93403,0.94553,0.86313,0.80169,0.88144,0.67703,0.78557,0.7914,0.92864,0.000359,0.000359,0.000359
74,811.595,0.89732,0.9342,0.94838,0.83195,0.84688,0.9002,0.69047,0.7908,0.74764,0.93592,0.000346625,0.000346625,0.000346625
75,822.022,0.87996,0.90823,0.94771,0.84677,0.84112,0.89705,0.69042,0.7761,0.69589,0.93,0.00033425,0.00033425,0.00033425
76,832.913,0.88336,0.8943,0.93976,0.82401,0.83321,0.88468,0.67803,0.79989,0.7595,0.93903,0.000321875,0.000321875,0.000321875
77,844.279,0.88173,0.90957,0.94663,0.83188,0.84652,0.89712,0.68727,0.78304,0.74062,0.93395,0.0003095,0.0003095,0.0003095
78,854.816,0.8675,0.89401,0.93897,0.87878,0.83888,0.91094,0.70911,0.75332,0.67106,0.92199,0.000297125,0.000297125,0.000297125
79,865.677,0.8726,0.89379,0.93815,0.83357,0.86271,0.89863,0.6996,0.76806,0.71537,0.92292,0.00028475,0.00028475,0.00028475
80,876.219,0.87076,0.87991,0.93567,0.83944,0.84953,0.91257,0.7005,0.7829,0.67114,0.93149,0.000272375,0.000272375,0.000272375
81,887.091,0.88272,0.88705,0.9446,0.83559,0.85462,0.90523,0.70125,0.77497,0.67816,0.93031,0.00026,0.00026,0.00026
82,897.775,0.8538,0.86634,0.93182,0.88176,0.87175,0.93626,0.73209,0.75051,0.62536,0.91759,0.000247625,0.000247625,0.000247625
83,908.911,0.85984,0.86042,0.93317,0.85295,0.86607,0.91537,0.71412,0.75026,0.6487,0.91883,0.00023525,0.00023525,0.00023525
84,920.009,0.85212,0.85308,0.93294,0.88334,0.88607,0.9385,0.73921,0.72917,0.60779,0.90924,0.000222875,0.000222875,0.000222875
85,931.141,0.84279,0.848,0.92757,0.8707,0.89042,0.93668,0.73934,0.73343,0.62359,0.91001,0.0002105,0.0002105,0.0002105
86,941.731,0.84201,0.84324,0.92865,0.88273,0.87346,0.93498,0.73901,0.74007,0.62631,0.91202,0.000198125,0.000198125,0.000198125
87,952.875,0.8379,0.80692,0.92734,0.87133,0.89582,0.94093,0.73577,0.73847,0.60252,0.91345,0.00018575,0.00018575,0.00018575
88,963.279,0.84008,0.80786,0.92395,0.88039,0.87304,0.93259,0.72744,0.75181,0.63029,0.91743,0.000173375,0.000173375,0.000173375
89,974.936,0.83898,0.80742,0.92689,0.86447,0.87877,0.94168,0.73949,0.7363,0.6018,0.91167,0.000161,0.000161,0.000161
90,985.857,0.82441,0.79053,0.91981,0.87138,0.89779,0.94298,0.74916,0.7291,0.58789,0.90912,0.000148625,0.000148625,0.000148625
91,1001.55,0.84206,0.82446,0.93767,0.86069,0.84781,0.91688,0.71069,0.77177,0.67988,0.92609,0.00013625,0.00013625,0.00013625
92,1012.05,0.79385,0.74325,0.92454,0.84767,0.88299,0.92464,0.72392,0.76338,0.63135,0.92089,0.000123875,0.000123875,0.000123875
93,1022.92,0.79667,0.75503,0.91718,0.85633,0.87177,0.92435,0.73344,0.73744,0.62162,0.91103,0.0001115,0.0001115,0.0001115
94,1033.72,0.78642,0.72122,0.91774,0.87715,0.85309,0.92853,0.72863,0.7472,0.62153,0.91582,9.9125e-05,9.9125e-05,9.9125e-05
95,1044.26,0.77435,0.69529,0.91016,0.85564,0.8799,0.93675,0.74224,0.72394,0.58374,0.9058,8.675e-05,8.675e-05,8.675e-05
96,1055.42,0.77683,0.6987,0.91411,0.88987,0.87035,0.94005,0.75181,0.72677,0.57829,0.90601,7.4375e-05,7.4375e-05,7.4375e-05
97,1065.92,0.76615,0.68152,0.91271,0.8859,0.87743,0.94269,0.75506,0.71795,0.57223,0.90284,6.2e-05,6.2e-05,6.2e-05
98,1077.33,0.76209,0.68099,0.9057,0.89881,0.87828,0.94519,0.75678,0.714,0.56008,0.90173,4.9625e-05,4.9625e-05,4.9625e-05
99,1087.68,0.7606,0.66687,0.90847,0.88447,0.89915,0.94899,0.76194,0.71127,0.55847,0.90094,3.725e-05,3.725e-05,3.725e-05
100,1098.81,0.76159,0.66632,0.90491,0.88763,0.90084,0.94595,0.75926,0.71275,0.55646,0.9006,2.4875e-05,2.4875e-05,2.4875e-05
